strain,replicate,conc,a,m1,xc1,yc1
T,2,0.0,1171842.6403605512,0.4104024833737809,4.5,0.0345
T,2,0.24,911506.8363576304,0.8406354966949962,4.5,0.0405
T,2,0.49,1282.3679444633865,0.0076953964018081,3.5,0.033
T,2,0.98,287.1847868375484,0.0064256762895142,3.5,0.0245
T,2,1.95,77.21041952699893,0.0051521890575969,3.5,0.029
T,2,3.91,177.88122020595046,0.0061473271118451,3.5,0.027
T,2,7.81,392.4969793923789,0.0063440751285161,4.5,0.049
T,2,15.63,772.2880575895824,0.0074387517169461,6.5,0.0315
T,2,31.25,1253.4063073503817,0.0088325734040361,15.5,0.037
T,2,62.5,138.52646955145815,0.000781408850497,28.5,0.0325
T,2,125.0,0.0010000006810814,0.0001925759258296,29.5,0.0205
T,2,250.0,64.81907306271795,0.0010370008048581,2.5,0.0165
T,1,0.0,298.10317551561525,0.0062282809426576,4.5,0.025
T,1,0.24,634484.8689790608,0.7600054561097437,5.5,0.04
T,1,0.49,323.7699137107544,0.0055408942787276,4.5,0.028
T,1,0.98,423.9246133704565,0.0061384521341472,4.5,0.0255
T,1,1.95,425.69701613012296,0.0056758890979373,4.5,0.027
T,1,3.91,445.606063563103,0.0056146035073405,4.5,0.026
T,1,7.81,432.9929622625325,0.0060773332883501,4.5,0.0245
T,1,15.63,1891.7367595156668,0.0083013323025524,8.5,0.035
T,1,31.25,671.303285482368,0.0216326838289586,16.5,0.076
T,1,62.5,190936.53144724623,0.0038936103478911,1.5,0.0099999999999999
T,1,125.0,101734.25785784,0.0011742967612169,2.5,0.0099999999999999
T,1,250.0,1101.6187137459503,0.0010957298013257,25.5,0.031
D,2,0.0,295.7470188834665,0.0072316513679232,4.5,0.031
D,2,0.24,13443.43100435182,0.0242501246202049,6.5,0.0455
D,2,0.49,250.2752340563632,0.0064884673262547,4.5,0.0245
D,2,0.98,284.9018357647429,0.0073683936853133,4.5,0.0265
D,2,1.95,404.55022535920295,0.0079092445278361,4.5,0.026
D,2,3.91,216.24788772825747,0.0077187137796552,4.5,0.0235
D,2,7.81,257.0462054146998,0.0073299428077562,4.5,0.034
D,2,15.63,123.09707439242656,0.0075108040883604,4.5,0.0205
D,2,31.25,116.01841031254652,0.0077289593685877,10.5,0.0419999999999999
D,2,62.5,1691.7448339919442,0.0109244086656293,23.5,0.0559999999999999
D,2,125.0,2901.7865440470687,0.0010220131893812,7.5,0.0139999999999999
D,2,250.0,14.16075777121854,0.0009784042985615,25.5,0.04
D,1,0.0,405.8416723692153,0.0065469925407215,5.5,0.0404999999999999
D,1,0.24,4426.484540545341,0.0138563508228094,5.5,0.043
D,1,0.49,630.2337165223043,0.0064728649800897,4.5,0.048
D,1,0.98,467.4327399140729,0.0068107627677716,4.5,0.0275
D,1,1.95,351.121840436938,0.0069000332539604,4.5,0.0289999999999999
D,1,3.91,348.9510301432123,0.0072918249610163,4.5,0.0285
D,1,7.81,343.9325475360544,0.007747870902303,4.5,0.0315
D,1,15.63,148.85741405749698,0.0078990675071554,4.5,0.028
D,1,31.25,497.5662677974887,0.0167496245271524,12.5,0.0765
D,1,62.5,1153.996473725301,0.0081082169509745,22.5,0.0579999999999999
D,1,125.0,0.0010000291089519,0.0007645524728285,29.5,0.0335
D,1,250.0,0.0010000195983951,0.0008990944863427,23.5,0.034
R,2,0.0,2329.01955266972,0.0105806738509719,4.5,0.033
R,2,0.24,683.1458457446975,0.0013525554777237,23.5,0.039
R,2,0.49,146.18367295288667,0.0017295874901323,27.5,0.048
R,2,0.98,481.1522277526173,0.0013320632436067,20.5,0.031
R,2,1.95,105.3779132124011,0.0010655189045239,27.5,0.045
R,2,3.91,0.0010117356822646,0.00073332242737,29.5,0.0325
R,2,7.81,8720.409043079933,0.0011278257817349,7.5,0.0139999999999999
R,2,15.63,0.0010055965540084,0.000729953941629,27.5,0.033
R,2,31.25,0.001004325967033,0.0007764454070251,19.5,0.024
R,2,62.5,0.0010708194100715,0.0003314900362822,27.5,0.0235
R,2,125.0,0.0010024426553872,0.0004829834703282,27.5,0.0235
R,2,250.0,342.46324757040054,0.0009687635116491,4.5,0.015
R,1,0.0,446522.780685407,0.4131708134611183,4.5,0.03
R,1,0.24,151.23499493233356,0.0012459491891067,20.5,0.039
R,1,0.49,57.2185180074501,0.0036602267368621,20.5,0.066
R,1,0.98,317.526811820657,0.0023213350546396,19.5,0.0405
R,1,1.95,201.88180136454315,0.0025300383251284,26.5,0.0525
R,1,3.91,176.94820227145738,0.0018142932426826,29.5,0.049
R,1,7.81,31.933549815353675,0.0014815704508646,29.5,0.048
R,1,15.63,768.8939298361624,0.0018352448118886,12.5,0.0235
R,1,31.25,23584884.82176042,0.0609365767305731,9.5,0.02
R,1,62.5,4167.586355810164,0.0027600856417503,13.5,0.0284999999999999
R,1,125.0,32687.39766898584,0.0004559254987157,14.5,0.0165
R,1,250.0,0.0010000000028881,0.0007043883641518,1.5,0.0139999999999999
