strain,replicate,conc,a,m1,m2,p,q,xc1,yc1,xc2,yc2
T,2,0.0,0.0010000008137228,1.8262691486862443,1.477640138298159,0.0187913156125269,-0.019516648724481,3.5,0.026,4.5,0.0345
T,2,0.24,6220.069493718461,-0.0005927096960306,-0.0053626827291866,4.99887322747484,-2.712225544524442,3.5,0.0305,4.5,0.0405
T,2,0.49,866.5870921802184,0.0017442457096938,0.0434857822912935,0.6287406691838926,0.2819121718809185,4.5,0.041999999999999996,3.5,0.033
T,2,0.98,0.0010686588919123,0.5316987919836131,-0.0078780191815509,0.0347287917910573,1.7599699669155984,4.5,0.0335,3.5,0.0245
T,2,1.95,17.108441419065937,-0.0141521144602095,0.0112636426618117,0.2026946655232491,0.6937942766930699,4.5,0.039,3.5,0.029
T,2,3.91,134.28872475920937,0.0041491771782926,7.69990054961655,0.8892507203651687,0.0119203156822377,4.5,0.036500000000000005,3.5,0.027
T,2,7.81,0.0010000000022892,-0.9236657183282242,0.8685182980486316,-0.0595428419863913,-0.0568504901562,3.5,0.039999999999999994,4.5,0.049
T,2,15.63,13.727276309534917,4.828856592224181e-05,-0.0724728102687868,0.9379810377017166,-0.1107462492686095,7.5,0.039999999999999994,6.5,0.0315
T,2,31.25,0.0013412497936972,-0.0033382538003599,2.300806749672621,0.918703503607686,0.0040190651652859,16.5,0.0445,15.5,0.037000000000000005
T,2,62.5,0.0010000000019906,-0.116104696537227,0.0258986801824228,0.0998459931262171,0.469255543252682,29.5,0.035500000000000004,28.5,0.0325
T,2,125.0,0.0011558058941362,-0.0010100370729863,0.08879425692652,-44.08969165538515,-0.5019686877117889,10.5,0.0185,29.5,0.0205
T,2,250.0,0.0010009805625955,-0.137199936370394,-0.0008117728233437,0.0385420222426263,-7.647049980496938,29.5,0.044,2.5,0.0165
T,1,0.0,0.0100967834689712,-0.0010468826699756,0.7092060108193258,0.7710294209090216,0.0089112730588434,5.5,0.0335,4.5,0.025
T,1,0.24,0.0010000004064428,1.457074884567194,1.2221428816426068,0.0285219579171468,-0.0293322434649963,4.5,0.0305,5.5,0.04
T,1,0.49,570.3889772240785,-0.0023840099227714,-0.0024194313554855,7.986134083577649,-10.002195259024688,5.5,0.036500000000000005,4.5,0.028
T,1,0.98,0.0010000019586803,-1.3646273285962949,1.2400077735901442,-0.0210058871316263,-0.0186856402438119,3.5,0.017,4.5,0.025500000000000002
T,1,1.95,0.0010000000024398,-1.420356128246592,1.3293478288322265,-0.0208033419032424,-0.0182172143445269,3.5,0.018000000000000002,4.5,0.027000000000000003
T,1,3.91,0.0044389841216553,0.0012873411589364,12.05093840028207,0.8254283914732907,0.0008062091040604,5.5,0.0345,4.5,0.026000000000000002
T,1,7.81,393.6322378420169,0.0033738238046601,14.08970879607828,0.8120829415297096,0.0178255010825561,6.5,0.038000000000000006,4.5,0.0245
T,1,15.63,0.0010000001999402,-0.9602203502141918,0.4141627788093645,-0.0096265374379488,-0.0118845687686207,4.5,0.014499999999999999,8.5,0.035
T,1,31.25,2.8163911859008826,-0.0231746319124165,0.0502464858646062,0.7167107756817284,0.5795519043553444,15.5,0.06,16.5,0.07600000000000001
T,1,62.5,0.0017674788260532,0.0048395365884131,2.914962233983726,-0.086909019891741,0.0005871610963776,29.5,0.0185,1.5,0.009999999999999998
T,1,125.0,0.0010007581911296,-0.8561680868441183,1.0372153001606383,0.001968002297226,0.0022392941802578,8.5,0.0135,2.5,0.009999999999999998
T,1,250.0,0.0010000000087312,-0.0021485305559759,0.0033787554211388,-1.2907568739446806,-0.5803124498544233,2.5,0.012,25.5,0.031
D,2,0.0,283.5331000020053,0.0040120616724049,17.52191095122392,0.8670069169688227,0.015541263366594,5.5,0.0435,4.5,0.031
D,2,0.24,0.0010000002684095,-1.074937470766776,0.9707542006544468,-0.0453139116044552,-0.0452255516195802,5.5,0.036500000000000005,6.5,0.0455
D,2,0.49,360.4146590089705,0.00463831120607,-74.82764142241453,0.8322799498580863,-0.0088395130396292,7.5,0.044,4.5,0.0245
D,2,0.98,15.603086825014694,-3.229700911720647e-05,0.0315630204820729,0.5746552845757505,0.2245070046222436,6.5,0.040499999999999994,4.5,0.026500000000000003
D,2,1.95,0.025527077763627,-0.0015846084393016,0.6232861771276687,0.5534059056475582,0.0121502745365627,7.5,0.0475,4.5,0.026000000000000002
D,2,3.91,249.9262645135641,-0.0007425832791596,-0.0041968440390725,2.222997675135152,-1.940739546270912,5.5,0.0325,4.5,0.0235
D,2,7.81,720.1763049230005,-0.0004514187060853,-0.0027572392759288,2.77355904944002,-2.8206293719133337,6.5,0.0465,4.5,0.034
D,2,15.63,0.0014612077473706,-0.0136345577436595,-0.9199440153390448,0.3081274320784459,-0.0113718809561681,7.5,0.041499999999999995,4.5,0.0205
D,2,31.25,845.8593690437009,0.0141105061885531,23.335434066187634,0.932560821524096,0.0086599057304918,12.5,0.065,10.5,0.041999999999999996
D,2,62.5,71.37388664601221,-0.0021469505946931,0.0247279418694976,0.4342277719238388,0.3764151111792798,26.5,0.0755,23.5,0.055999999999999994
D,2,125.0,8163.965100091561,0.0007922208698879,0.0021166932968424,0.4126575723392735,0.5312760771506365,18.5,0.0235,7.5,0.013999999999999999
D,2,250.0,0.6768402973131086,17.015445635317494,0.0009279368452865,0.0001133762067899,1.0088015438919014,25.5,0.04,23.5,0.038
D,1,0.0,0.0010000009510248,-1.0208749731404778,0.9570389960618813,-0.0439825179993044,-0.0411371826334779,4.5,0.0315,5.5,0.040499999999999994
D,1,0.24,0.0010000000000126,-1.0925309419760976,0.9797839967466836,-0.0445594918241141,-0.0444320329880325,4.5,0.0345,5.5,0.043
D,1,0.49,798.0161600785232,0.0029731674557038,7.0062219904008165,0.8240996637146126,0.0332930280896064,7.5,0.065,4.5,0.048
D,1,0.98,0.0010000010345708,-1.0774951642489148,0.915357592808987,-0.0283855358259746,-0.0273305069760817,3.5,0.018000000000000002,4.5,0.027500000000000004
D,1,1.95,0.0010000000021853,-1.0848072587797977,0.9337898966330622,-0.029305150638657,-0.0277182765981486,3.5,0.018000000000000002,4.5,0.028999999999999998
D,1,3.91,2.380045865352824,0.0016662959307763,0.0017746679753606,2.168747668766025,-0.3693878587501632,3.5,0.019,4.5,0.0285
D,1,7.81,8.905664734442375,-0.0001299640395899,0.0464659553828439,0.6075869303397065,0.1627918385455047,6.5,0.046,4.5,0.0315
D,1,15.63,5.987387112567734,-0.0030027742579176,-0.0193637259969372,0.9599752289586146,-0.4943754069160115,6.5,0.041499999999999995,4.5,0.028000000000000004
D,1,31.25,2.939772209627083,0.0048349763857686,0.0055973321183876,1.253880940337061,-0.0464333409400965,10.5,0.05,12.5,0.07650000000000001
D,1,62.5,0.0583316524994045,0.4642746937458289,-0.0007913432086414,0.0150387201587461,1.065936585683911,23.5,0.065,22.5,0.057999999999999996
D,1,125.0,13.79186501602728,0.0034669441510443,0.005379428649934,0.4752091528220588,-0.1770356222382383,10.5,0.0195,29.5,0.0335
D,1,250.0,0.001000627233307,-0.0032948103390856,0.1525985194490573,-1.0598396508913484,-0.0170879157294137,7.5,0.02,23.5,0.034
