strain,replicate,conc,a,m1,m2,m3,m4,p,q,r,s,xc1,yc1,xc2,yc2,xc3,yc3,xc4,yc4
T,2,0.0,0.006795977148074,0.0174720310510539,3.7540421119164735,-0.0228154346667728,-9.638516074253092,10.486879884291316,0.0015562650046711,8.10473633203832,-0.0006474212738811,5.5,0.0405,4.5,0.0345,2.5,0.0195,3.5,0.026
T,2,0.24,163.75794859787206,-0.0209194483581018,0.0046298160191527,0.0151582063226568,-0.0127092028540484,0.8896189277145312,-1.1519978083919458,2.080920997357,0.1586216266457782,2.5,0.025,6.5,0.0535,3.5,0.0305,4.5,0.0405
T,2,0.49,0.0010000226009075,-0.1913289972714822,0.9080767745024294,0.6786517685299005,-5.376582087358062,0.1076151615237687,-0.1089525191418069,0.1535676155378451,-0.0044473779454087,14.5,0.064,2.5,0.025500000000000002,4.5,0.041999999999999996,3.5,0.033
T,2,0.98,7.496807304917069,0.0035164432711225,-0.4660259272727668,-0.0061608479499613,-10.888537647423288,0.5479497861605696,0.0216486890445505,-0.2550129176640383,-0.004232980108689,2.5,0.0175,25.5,0.0895,4.5,0.0335,3.5,0.0245
T,2,1.95,4.7297099377827125,-0.0187541512742991,0.0014849085296079,0.0074676897185949,0.0012474689994075,0.1799901278819242,-1.1122656736209515,1.3934407576216326,-1.234793286135012,15.5,0.078,2.5,0.0215,4.5,0.039,3.5,0.029
T,2,3.91,17.174441320587974,-0.0012429236850074,0.0013383536766916,0.0042008548694949,-0.7156433065895178,1.412698908005504,-2.8864978104573904,2.095686875829783,-0.0170418258924345,7.5,0.051500000000000004,5.5,0.0435,4.5,0.036500000000000005,3.5,0.027
T,2,7.81,12.81891286399194,-0.0505925250080285,-0.0976093453189533,0.0439485844592177,0.0408501828449675,0.1420803018398091,0.2123413075231624,1.718301450955835,-1.1644823040196328,7.5,0.0665,5.5,0.056999999999999995,4.5,0.049,3.5,0.039999999999999994
T,2,15.63,35.82763339877983,-0.0001029652436983,0.0001926495784234,-0.0003923870769888,-0.01462205558973,0.5509633631360346,-1.2425663456886402,1.8612344179801823,-0.4604376280330243,10.5,0.054,7.5,0.039999999999999994,6.5,0.0315,5.5,0.0235
T,2,31.25,25244.771198756625,0.0004182385785489,-0.0011497721252931,-0.0005354925114505,1.4425381334675867e-05,96.74024342642424,-17.450543143235517,88.87041750702308,-272.3054877001685,17.5,0.051000000000000004,15.5,0.037000000000000005,16.5,0.0445,14.5,0.03
T,2,62.5,0.0017667834003779,0.323207346835336,-0.5110480958550316,-0.2444834890456323,0.934922482338035,0.6117570403783973,0.1846388429726966,0.4811112757540989,0.0178183864201203,27.5,0.03,26.5,0.028,28.5,0.0325,29.5,0.035500000000000004
